iter	Passed	Remaining
413	2830	4006
414	2837	3999
415	2842	3991
416	2848	3982
417	2855	3975
418	2862	3968
419	2868	3961
420	2874	3953
421	2880	3945
422	2887	3938
423	2893	3930
424	2899	3922
425	2905	3914
426	2911	3906
427	2918	3900
428	2923	3891
429	2929	3883
430	2936	3876
431	2941	3868
432	2950	3863
433	2956	3855
434	2962	3847
435	2968	3839
436	2974	3831
437	2979	3823
438	2985	3815
439	2991	3807
440	2997	3799
441	3003	3791
442	3009	3783
443	3017	3778
444	3023	3770
445	3029	3762
446	3035	3755
447	3041	3747
448	3049	3741
449	3055	3734
450	3061	3727
451	3067	3719
452	3073	3711
453	3079	3703
454	3085	3695
455	3091	3687
456	3097	3680
457	3104	3673
458	3110	3665
459	3116	3658
460	3122	3650
461	3129	3643
462	3135	3636
463	3140	3627
464	3147	3621
465	3153	3613
466	3159	3606
467	3167	3600
468	3173	3592
469	3180	3586
470	3186	3578
471	3193	3572
472	3199	3565
473	3206	3558
474	3214	3552
475	3220	3545
476	3227	3538
477	3233	3530
478	3239	3523
479	3245	3516
480	3251	3508
481	3258	3501
482	3264	3494
483	3270	3486
484	3277	3480
485	3283	3472
486	3289	3465
487	3295	3457
488	3301	3449
489	3307	3442
490	3313	3434
491	3319	3427
492	3326	3420
493	3332	3413
494	3338	3406
495	3345	3399
496	3352	3392
497	3359	3386
498	3365	3379
499	3372	3372
500	3378	3364
501	3384	3357
502	3390	3350
503	3396	3342
504	3403	3335
505	3409	3329
506	3415	3321
507	3421	3313
508	3427	3306
509	3433	3298
510	3440	3292
511	3447	3286
512	3455	3280
513	3462	3273
514	3469	3267
515	3476	3260
516	3483	3254
517	3490	3247
518	3496	3240
519	3504	3234
520	3511	3228
521	3519	3222
522	3525	3215
523	3533	3209
524	3540	3202
525	3547	3196
526	3555	3190
527	3562	3184
528	3569	3178
529	3576	3171
530	3583	3165
531	3591	3159
532	3598	3153
533	3605	3146
534	3611	3139
535	3618	3132
536	3623	3124
537	3629	3116
538	3635	3109
539	3641	3102
540	3647	3094
541	3655	3089
542	3661	3081
543	3668	3074
544	3674	3067
545	3681	3060
546	3687	3053
547	3693	3046
548	3700	3039
549	3705	3032
550	3712	3025
551	3719	3019
552	3726	3011
553	3732	3005
554	3738	2997
555	3745	2990
556	3751	2983
557	3757	2976
558	3764	2969
559	3770	2962
560	3776	2955
561	3782	2948
562	3788	2940
563	3795	2934
564	3802	2927
565	3808	2920
566	3814	2913
567	3820	2905
568	3826	2898
569	3833	2891
570	3839	2884
571	3845	2877
572	3852	2870
573	3858	2863
574	3865	2856
575	3871	2849
576	3877	2842
577	3883	2835
578	3890	2828
579	3895	2821
580	3901	2813
581	3909	2807
582	3915	2800
583	3921	2793
584	3927	2785
585	3932	2778
586	3938	2771
587	3944	2763
588	3950	2756
589	3957	2749
590	3962	2742
591	3968	2734
592	3974	2728
593	3980	2720
594	3986	2713
595	3993	2706
596	3999	2699
597	4006	2693
598	4012	2686
599	4018	2679
600	4025	2672
601	4030	2664
602	4037	2658
603	4043	2651
604	4050	2644
605	4057	2637
606	4062	2630
607	4069	2623
608	4075	2616
609	4081	2609
610	4087	2602
611	4093	2595
612	4099	2588
613	4106	2581
614	4111	2574
615	4119	2567
616	4125	2560
617	4131	2553
618	4137	2546
619	4143	2539
620	4150	2533
621	4156	2526
622	4162	2518
623	4169	2512
624	4175	2505
625	4180	2497
626	4186	2490
627	4192	2483
628	4198	2476
629	4204	2469
630	4210	2462
631	4216	2454
632	4221	2447
633	4227	2440
634	4233	2433
635	4239	2426
636	4245	2419
637	4252	2412
638	4257	2405
639	4263	2398
640	4269	2391
641	4275	2384
642	4282	2377
643	4288	2370
644	4294	2363
645	4300	2356
646	4306	2349
647	4313	2343
648	4319	2336
649	4325	2329
650	4331	2322
651	4338	2315
652	4344	2308
653	4350	2301
654	4356	2294
655	4363	2288
656	4370	2281
657	4376	2274
658	4383	2268
659	4390	2261
660	4397	2255
661	4403	2248
662	4410	2242
663	4418	2235
664	4424	2228
665	4430	2222
666	4437	2215
667	4443	2208
668	4450	2202
669	4456	2195
670	4463	2188
671	4470	2181
672	4477	2175
673	4483	2168
674	4490	2161
675	4496	2155
676	4503	2148
677	4510	2142
678	4516	2135
679	4523	2128
680	4530	2122
681	4537	2115
682	4544	2109
683	4551	2102
684	4557	2095
685	4564	2089
686	4570	2082
687	4577	2075
688	4583	2069
689	4590	2062
690	4597	2056
691	4604	2049
692	4611	2043
693	4618	2036
694	4625	2029
695	4632	2023
696	4640	2017
697	4646	2010
698	4653	2003
699	4660	1997
700	4667	1990
701	4673	1983
702	4680	1977
703	4686	1970
704	4693	1963
705	4701	1958
706	4709	1951
707	4716	1945
708	4724	1939
709	4732	1932
710	4739	1926
711	4745	1919
712	4752	1912
713	4758	1906
714	4764	1899
715	4771	1892
716	4777	1885
717	4784	1879
718	4791	1872
719	4797	1865
720	4804	1859
721	4811	1852
722	4817	1845
723	4824	1839
724	4830	1832
725	4837	1825
726	4843	1818
727	4850	1812
728	4856	1805
729	4862	1798
730	4868	1791
731	4874	1784
732	4880	1777
733	4886	1770
734	4892	1764
735	4898	1757
736	4904	1750
737	4910	1743
738	4917	1736
739	4923	1729
740	4929	1722
741	4935	1716
742	4941	1709
743	4946	1702
744	4953	1695
745	4959	1688
746	4965	1681
747	4971	1674
748	4977	1668
749	4983	1661
750	4989	1654
751	4995	1647
752	5001	1640
753	5006	1633
754	5012	1626
755	5018	1619
756	5024	1612
757	5031	1606
758	5037	1599
759	5043	1592
760	5049	1585
761	5055	1579
762	5061	1572
763	5067	1565
764	5073	1558
765	5080	1552
766	5086	1545
767	5092	1538
768	5098	1531
769	5104	1524
770	5110	1517
771	5116	1511
772	5122	1504
773	5128	1497
774	5135	1490
775	5140	1483
776	5147	1477
777	5152	1470
778	5158	1463
779	5165	1456
780	5171	1450
781	5177	1443
782	5183	1436
783	5188	1429
784	5196	1423
785	5202	1416
786	5208	1409
787	5214	1402
788	5220	1396
789	5227	1389
790	5232	1382
791	5238	1375
792	5245	1369
793	5251	1362
794	5257	1355
795	5263	1348
796	5269	1342
797	5281	1336
798	5286	1329
799	5292	1323
800	5299	1316
801	5305	1309
802	5314	1303
803	5320	1297
804	5327	1290
805	5332	1283
806	5339	1276
807	5345	1270
808	5350	1263
809	5357	1256
810	5363	1249
811	5369	1243
812	5375	1236
813	5381	1229
814	5386	1222
815	5392	1216
816	5398	1209
817	5404	1202
818	5410	1195
819	5415	1188
820	5421	1182
821	5427	1175
822	5433	1168
823	5439	1161
824	5445	1155
825	5451	1148
826	5457	1141
827	5463	1135
828	5470	1128
829	5476	1121
830	5482	1114
831	5488	1108
832	5494	1101
833	5499	1094
834	5506	1088
835	5512	1081
